product_id;sku;ean;name;Kod producenta
212560963;1000418;4260223027024;Walec rozprężny do tulei taśm ściernych satyniarki 90x100mm;1000418
212560964;1000419;4260223027031;Taśmy pasy ścierne szlifierskie bezkońcowe 760x40mm ziarnistość P120 5szt;1000419
212560965;1000421;4260223027055;Taśmy pasy ścierne szlifierskie bezkońcowe 760x40mm zairnistość P240 5szt;1000421
212560966;1000422;4260223027062;Taśmy pasy ścierne szlifierskie bezkońcowe 760x40mm ziarnistość P320 5szt;1000422
212560967;1000423;4260223027079;Taśmy pasy ścierne szlifierskie bezkońcowe 620x40mm ziarnistość P120 5szt;1000423
212560968;1000430;4250928601407;Palnik Cut 60-80 do cięcia plazmą z przewodem 8m;1000430
212560969;1000432;4250928603883;Masowy z zaciskiem do spawarek przecinarek plazmowych dł. 4m;1000432
212560970;1000433;4260223024580;Pedał nożny do sterowania spawarkami ALU 225PH 333PH;1000433
212560971;1000434;4250928604460;Masowy do spawarek Alpha Entrix dł. 4m;1000434
212560972;1000435;4250928604477;Z uchwytem MMA do spawarek Wlebach Alpha Entrix dł. 4m;1000435
212560973;1000438;4250928604514;Masowy z zaciskiem do spawarek dł. 4m;1000438
212560974;1000440;4250928604606;Palnik ręczny Cut 50 do cięcia plazmą z przewodem dł. 4m;1000440
212560975;1000442;4260223025259;Pedał włącznik nożny do spawarek DIGITAC 200P 315P;1000442
212560976;1000443;4250928606907;Uchwyt Palnik spawalniczy MIG;1000443
212560977;1000444;4250928607331;Palnik do przecinarki plazmowej Cut 120 z prowadnicą dł. 8m;1000444
212560978;1000447;4250928611475;Uchwyt spawalniczy MMA z przewodem dł. 8m końcówka Dkj 35-50;1000447
212560979;1000448;4250928611567;Palnik ręczny do przecinarki plazmowej Cut 120 z prowadnicą;1000448
212560980;1000449;4250928612533;Uchwyt spawalniczy MMA do spawarek 250A;1000449
212560981;1000450;4250928613769;Masowy z zaciskiem do spawarek 250A;1000450
212560982;1000451;4250928613776;Uchwyt spawalniczy MMA z przewodem dł. 4m 250A;1000451
212560983;1000452;4250928613783;Uchwyt palnik TIG z przewodem dł. 4m akcesoriami 250A;1000452
212560984;1000453;4250928613790;Uchwyt palnik TIG z przewodami dł. 4m akcesoriami 315A;1000453
212560985;1000454;4250928613806;Uchwyt spawalniczy palnik TIG z przewodem dł. 4m akcesoriai 350A;1000454
212560986;1000456;4250928613820;Masowy z zaciskiem do przecinarek plazmowych spawarek 200A;1000456
212560987;1000457;4250928613837;Palnik ręczny do przecinarek Cut 80-125 z przewodami dł. 4m akcesoriami;1000457
212560988;1000459;4250928614254;Uchwyt do elektrod MMA z przewodem dł. 3,5m DKJ16-25 200A;1000459
212560989;1000460;4250928614261;Uchwyt do elektrod MMA z przewodem dł. 3,5m DKJ16-25 200A;1000460
212560990;1000461;4250928614278;Masowy dł. 4m DKJ10-25 z zaciskiem 200A;1000461
212560991;1000466;4250928617248;Palnik maszynowy Cnc Plasma Cut 80-125 z przewodami dł. 5m;1000466
212560992;1000468;4260223025433;Frytownica elektryczna pojedyncza z termostatem Ego 4L;1000468
